station_id,station_code,station_name,sample_date,depth1,depth2,ALK_mmol/l,Ca_mg/l,Cl_mg/l,K_mg/l,Mg_mg/l,NH4-N_µg/l N,NO3-N_µg/l N,Na_mg/l,SO4_mg/l,TOC_mg C/l,pH_
108,LAE01,"Langtjern, utlÃ¸p",1974-01-10 00:00:00,0.0,0.0,0.0,1.63,0.6,0.1,0.3,30.0,20.0,,,,4.96
108,LAE01,"Langtjern, utlÃ¸p",1974-01-16 00:00:00,0.0,0.0,0.0,1.64,0.6,0.1,0.3,30.0,20.0,,,,4.99
108,LAE01,"Langtjern, utlÃ¸p",1974-01-23 00:00:00,0.0,0.0,0.0,1.67,0.6,0.12,0.3,20.0,10.0,,,,5.07
108,LAE01,"Langtjern, utlÃ¸p",1974-02-01 00:00:00,0.0,0.0,0.0,1.69,0.6,0.13,0.3,15.0,30.0,,,,5.04
108,LAE01,"Langtjern, utlÃ¸p",1974-02-07 00:00:00,0.0,0.0,0.0,1.65,0.6,0.09,0.3,5.0,10.0,,,,4.95
108,LAE01,"Langtjern, utlÃ¸p",1974-02-11 22:50:00,0.0,0.0,0.0,1.62,0.6,0.2,0.3,10.0,10.0,0.96,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 01:15:00,0.0,0.0,0.0,1.59,0.6,0.17,0.3,10.0,10.0,0.95,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 08:40:00,0.0,0.0,0.0,1.59,0.6,0.19,0.3,15.0,10.0,0.97,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 10:40:00,0.0,0.0,0.0,1.61,0.8,0.27,0.3,15.0,10.0,1.17,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 13:30:00,0.0,0.0,0.0,1.59,0.6,0.16,0.29,10.0,10.0,0.86,,,5.02
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 15:00:00,0.0,0.0,0.0,1.62,0.6,0.18,0.3,10.0,10.0,0.99,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 16:25:00,0.0,0.0,0.0,1.6,0.6,0.17,0.3,25.0,10.0,1.06,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 18:20:00,0.0,0.0,0.0,1.61,0.6,0.18,0.3,10.0,10.0,0.93,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 20:35:00,0.0,0.0,0.0,1.63,0.6,0.19,0.3,10.0,10.0,0.95,,,5.01
108,LAE01,"Langtjern, utlÃ¸p",1974-02-12 22:45:00,0.0,0.0,0.0,1.6,0.6,0.19,0.3,10.0,10.0,1.02,,,5.01
